Index,Region,LegislativeDistrict,Municipality,DistrictEngineeringOffice,ProjectID,ProjectDescription,TypeofWork,FundingYear,ContractID,ABC_String,ContractCost_String,CompletionDateActual,Contractor,StartDate,Latitude,Longitude,ContractCost,Turnaround Time (Days)
6462,Region VI,ILOILO (SECOND LEGISLATIVE DISTRICT),SANTA BARBARA (ILOILO),Iloilo 4th District Engineering Office,P00821138VS,"Construction of Aganan Flood Control Structure (Jaro-Aganan River), Brgy. Balabag and Jibao-an, Sta. Barbara, Iloilo",Construction of Flood Mitigation Structure,2024,24GI0057,72375000,72373092.54,2024-12-13,"MONOLITHIC CONSTRUCTION & CONCRETE PRODUCTS, INC.",2024-03-12,10.778848,122.513642,72373092.54,276
6464,Region VI,ILOILO (FOURTH LEGISLATIVE DISTRICT),SAN ENRIQUE (ILOILO),Iloilo 2nd District Engineering Office,P00821142VS,"Construction of Flood Mitigation Structure along Jalaur River, San Enrique, Iloilo (Section 2)",Construction of Flood Mitigation Structure,2024,24GG0150,96500000,96499845.49,2024-12-01,STRONGLANE BUILDERS AND TRADING CORPORATION (FORMERLY: STRONGLANE CONSTRUCTION & TRADING),2024-03-27,11.068473,122.656447,96499845.49,249
6466,Region VI,NEGROS OCCIDENTAL (THIRD LEGISLATIVE DISTRICT),CITY OF TALISAY (NEGROS OCCIDENTAL),Negros Occidental 1st District Engineering Office,P00832639VS,"Construction of Flood Control Structure, Barangay Zone 16, Talisay City, Negros Occidental",Construction of Flood Mitigation Structure,2024,24GK0077,9899996.76,9897916.56,2024-06-02,CANLAON BUILDERS AND DEVELOPMENT CORPORATION,2024-02-14,10.7483,122.97009,9897916.56,109
6469,Region VI,NEGROS OCCIDENTAL (THIRD LEGISLATIVE DISTRICT),ENRIQUE B. MAGALONA (SARAVIA) (NEGROS OCCIDENTAL),Negros Occidental 1st District Engineering Office,P00834999VS,"Construction of Flood Control System, Brgy Alicante, Enrique B. Magalona, Negros Occidental",Construction of Flood Mitigation Structure,2024,24GK0186,49499996.88,49497759.51,2024-10-13,LEGACY CONSTRUCTION CORPORATION (FORMERLY: LEGACY CONSTRUCTION),2024-03-13,10.90254,123.03163,49497759.51,214
6472,Region IX,ZAMBOANGA DEL SUR (SECOND LEGISLATIVE DISTRICT),BAYOG (ZAMBOANGA DEL SUR),Zamboanga del Sur 2nd District Engineering Office,P00821214MN,"Construction of Flood Control Structure along Dipili River, Barangay Dipili, Bayog, Zamboanga del Sur",Construction of Flood Mitigation Structure,2024,24JG0041,39200000,39200000,2024-12-05,BADSBRO CONSTRUCTION AND GENERAL MERCHANDISE,2024-05-09,7.857807,123.032612,39200000.0,210
6475,Region VII,NEGROS ORIENTAL (THIRD LEGISLATIVE DISTRICT),SIATON (NEGROS ORIENTAL),Negros Oriental 3rd District Engineering Office,P00820407VS,"Construction of Siaton River Control (Downstream A), Siaton, Negros Oriental",Construction of Flood Mitigation Structure,2024,24HL0026,48368880,48368880,2024-08-07,AMETHYST HORIZON BUILDERS AND GEN. CONTRACTOR AND DEVELOPMENT CORP.,2024-03-11,9.04990556,123.0326636,48368880.0,149
6479,Region VI,ILOILO (THIRD LEGISLATIVE DISTRICT),POTOTAN (ILOILO),Iloilo 2nd District Engineering Office,P00820396VS,"Construction of Flood Control Structure along Jalaur River, Barangay Tuburan, Pototan, Iloilo",Construction of Flood Mitigation Structure,2024,24GG0148,34300000,33958511.47,2024-09-01,"J.S. LAYSON & CO. , INC.",2024-03-08,10.84408,122.657625,33958511.47,177
6484,Region VI,ILOILO (FOURTH LEGISLATIVE DISTRICT),DINGLE (ILOILO),Iloilo 2nd District Engineering Office,P00834565VS,"Construction of Flood Control Structure, Barangay Pandan, Dingle, Ilollo",Construction of Revetment,2024,24GG0154,96500000,95543504.1,2024-12-16,"A.D. PENDON CONSTRUCTION & SUPPLY, INC. (FORMERLY: ADP CONSTRUCTION & SUPPLY)",2024-03-08,10.96602361,122.65915806,95543504.1,283
6489,Region V,CAMARINES NORTE (SECOND LEGISLATIVE DISTRICT),BASUD (CAMARINES NORTE),Camarines Norte Sub-District Engineering Office,P00820464LZ,"Construction of Flood Mitigation Structure along Barangay Mantugawe and Barangay Pagsangahan, Basud, Camarines Norte",Construction of Flood Mitigation Structure,2024,24F00149,96499986.42,96499986.42,2024-10-31,BRENTMIN ROOFING ENTERPRISE,2024-03-19,14.0263,122.9322,96499986.42,226
6496,Region IX,ZAMBOANGA DEL SUR (SECOND LEGISLATIVE DISTRICT),BAYOG (ZAMBOANGA DEL SUR),Zamboanga del Sur 2nd District Engineering Office,P00820244MN,"Construction of Sibuguey River Flood Control Project, Phase IV, Barangay Poblacion, Bayog, Zamboanga del Sur",Construction of Flood Mitigation Structure,2024,24JG0013,66467270,66467270,2024-11-06,BADSBRO CONSTRUCTION AND GENERAL MERCHANDISE,2024-03-22,7.835471,123.037702,66467270.0,229
6501,Region IX,ZAMBOANGA DEL NORTE (THIRD LEGISLATIVE DISTRICT),LABASON (ZAMBOANGA DEL NORTE),Zamboanga del Norte 3rd District Engineering Office,P00820133MN,"Rehabilitation of Flood Control Structure along Labason River (Downstream -Labason Side), Labason, Zamboanga del Norte",Rehabilitation / Major Repair of Flood Control Structure,2024,24JD0014,34300000,34300000,2024-08-14,LONG ISLAND BUILDERS & CONSTRUCTION,2024-02-07,8.06829,122.51667,34300000.0,189
6503,Region VI,NEGROS OCCIDENTAL (THIRD LEGISLATIVE DISTRICT),SILAY CITY (NEGROS OCCIDENTAL),Negros Occidental 1st District Engineering Office,P00820282VS,"Construction of Flood Control Structure of Imbang River (Upstream), Silay City, Negros Occidental",Construction of Flood Mitigation Structure,2024,24GK0010,96499999.97,96499999.99,2025-03-12,SILVERGRACES CONSTRUCTION AND CONSTRUCTION SUPPLY,2024-02-19,10.82684,122.97147,96499999.99,387
6504,Region V,CAMARINES SUR (THIRD LEGISLATIVE DISTRICT),PILI (CAPITAL) (CAMARINES SUR),Camarines Sur 3rd District Engineering Office,P00846118LZ,"Construction of Flood Control Structure, Brgy. San Vicente, Pili, Camarines Sur",Construction of Flood Mitigation Structure,2024,24FF0065,4949973.51,4889297.34,2024-08-08,BENJOSH CONSTRUCTION SUPPLY,2024-05-28,13.555566,123.277679,4889297.34,72
6507,Region IX,ZAMBOANGA DEL NORTE (THIRD LEGISLATIVE DISTRICT),LABASON (ZAMBOANGA DEL NORTE),Zamboanga del Norte 3rd District Engineering Office,P00820132MN,"Rehabilitation of Flood Control Structure along Labason River (Downstream - Osukan Side), Labason, Zamboanga del Norte",Rehabilitation / Major Repair of Flood Control Structure,2024,24JD0013,14700000,14700000,2024-05-26,DEBRIS ENTERPRISES AND CONSTRUCTION,2024-02-07,8.06816,122.51669,14700000.0,109
6509,Region VII,NEGROS ORIENTAL (THIRD LEGISLATIVE DISTRICT),SANTA CATALINA (NEGROS ORIENTAL),Negros Oriental 3rd District Engineering Office,P00820406VS,"Construction of River Control along Sicopong River, Amio, Sta. Catalina, Negros Oriental",Construction of Flood Mitigation Structure,2024,24HL0042,45080000,45080000,2024-10-01,AMETHYST HORIZON BUILDERS AND GEN. CONTRACTOR AND DEVELOPMENT CORP.,2024-03-11,9.41429889,122.93446,45080000.0,204
6510,Region VI,NEGROS OCCIDENTAL (THIRD LEGISLATIVE DISTRICT),SILAY CITY (NEGROS OCCIDENTAL),Negros Occidental 1st District Engineering Office,P00820284VS,"Construction of Flood Control Structure of Imbang River, Silay City, Negros Occidental",Construction of Flood Mitigation Structure,2024,24GK0012,96499993.37,96499995.02,2024-09-25,SUPREME ABF CONST. & CONST. SUPPLY COMPANY INC.,2024-02-19,10.82684,122.97147,96499995.02,219
6513,Region VI,ILOILO (FOURTH LEGISLATIVE DISTRICT),DINGLE (ILOILO),Iloilo 2nd District Engineering Office,P00820390VS,"Construction of Flood Control Structure along Jalaur River in Dingle, Iloilo",Construction of Flood Mitigation Structure,2024,24GG0114,9800000,9750012.74,2024-07-08,STRONGLANE BUILDERS AND TRADING CORPORATION (FORMERLY: STRONGLANE CONSTRUCTION & TRADING),2024-03-08,10.96947918,122.65947915,9750012.74,122
6535,Region IV-A,QUEZON (THIRD LEGISLATIVE DISTRICT),CATANAUAN (QUEZON),Quezon 3rd District Engineering Office,P00821324LZ,"Construction of Flood Control Structure along Catanauan River, Catanauan, Quezon",Construction of Flood Mitigation Structure,2024,24DM0057,96499932.85,96500000,2024-12-03,ST. TIMOTHY CONSTRUCTION CORPORATION,2024-02-14,13.60248,122.32494,96500000.0,293
6537,Region VI,ILOILO (THIRD LEGISLATIVE DISTRICT),POTOTAN (ILOILO),Iloilo 2nd District Engineering Office,P00820395VS,"Construction of Flood Control Structure along Jalaur River, Barangay Cansilayan, Pototan, Iloilo",Construction of Flood Mitigation Structure,2024,24GG0052,34300000,32875340.04,2024-12-27,"WOODLAND CONSTRUCTION & SUPPLY, INC.",2024-02-12,10.893489,122.662917,32875340.04,319
6544,Region VI,ILOILO (FOURTH LEGISLATIVE DISTRICT),BAROTAC NUEVO (ILOILO),Iloilo 2nd District Engineering Office,P00821139VS,"Construction of Flood Mitigation Structure along Jalaur River, Brgy. Sohoton to Brgy. Patag, Barotac Nuevo, Iloilo",Construction of Flood Mitigation Structure,2024,24GG0152,72375000,72274190.79,2024-05-27,EARLY RISER CONSTRUCTION / CMG JR. BUILDERS,2024-03-08,10.946833,122.665739,72274190.79,80
6555,Region VI,ILOILO (THIRD LEGISLATIVE DISTRICT),POTOTAN (ILOILO),Iloilo 2nd District Engineering Office,P00820294VS,"Construction of Flood Mitigation Structure along Jalaur River in Brgy. Callan to Guibuangan, Pototan, llollo",Construction of Flood Mitigation Structure,2024,24GG0062,120625000,118369503.2,2024-12-16,IBC INTERNATIONAL BUILDERS CORPORATION,2024-02-16,10.927184,122.669062,118369503.2,304
6557,Region VII,NEGROS ORIENTAL (FIRST LEGISLATIVE DISTRICT),CITY OF GUIHULNGAN (NEGROS ORIENTAL),Negros Oriental 1st District Engineering Office,P00820197VS,"Construction of Flood Control along Calamba River, Guihulngan City, Negros Oriental",Construction of Flood Mitigation Structure,2024,24HJ0021,29400000,29400000,2024-10-27,MIGHTY HOK SUMMIT CONSTRUCTION & DEVELOPMENT CORP.,2024-02-07,10.17891,123.28153,29400000.0,263
6558,Region IV-A,QUEZON (THIRD LEGISLATIVE DISTRICT),CATANAUAN (QUEZON),Quezon 3rd District Engineering Office,P00844776LZ,"Rehabilitation of Drainage System, Public Market, Brgy. Madulao, Catanauan, Quezon",Construction of Drainage Structure,2024,24DM0130,14699915.51,14700000,2024-10-21,LAICAN ENTERPRISES INC.,2024-05-20,13.58792,122.32981,14700000.0,154
6559,Region VII,NEGROS ORIENTAL (THIRD LEGISLATIVE DISTRICT),SIATON (NEGROS ORIENTAL),Negros Oriental 3rd District Engineering Office,P00820210VS,"Construction of Canaway River Control (Upstream A), Siaton, Negros Oriental",Construction of Flood Mitigation Structure,2024,24HL0020,45080000,45080000,2024-09-11,ELITE GENERAL CONTRACTOR AND DEVELOPMENT CORP.,2024-02-20,9.06158472,123.0425756,45080000.0,204
6569,Region IX,ZAMBOANGA DEL SUR (SECOND LEGISLATIVE DISTRICT),PITOGO (ZAMBOANGA DEL SUR),Zamboanga del Sur 2nd District Engineering Office,P00821216MN,"Construction of Flood Control Structure, Barangay Colojo, Pitogo, Zamboanga del Sur",Construction of Flood Mitigation Structure,2024,24JG0043,14700000,14679922.81,2025-04-29,ZMS CONST. & DEV. CORP. (FORMERLY:ZMS CONSTRUCTION,2024-05-09,7.472028,123.346845,14679922.81,355
6571,Region VII,NEGROS ORIENTAL (THIRD LEGISLATIVE DISTRICT),SIATON (NEGROS ORIENTAL),Negros Oriental 3rd District Engineering Office,P00820209VS,"Construction of Canaway River Control (Downstream B), Siaton, Negros Oriental",Construction of Flood Mitigation Structure,2024,24HL0021,45080000,45080000,2024-08-12,AMETHYST HORIZON BUILDERS AND GEN. CONTRACTOR AND DEVELOPMENT CORP.,2024-02-20,9.06134694,123.0427147,45080000.0,174
6579,Region VII,CEBU (SEVENTH LEGISLATIVE DISTRICT),ALEGRIA (CEBU),Cebu 7th District Engineering Office,P00834664VS,"Construction of Revetment Wall at Barangay Madridejos, Alegria, Cebu (Upstream Right Side)",Construction of Flood Mitigation Structure,2024,24HO0096,48995366.78,48995002.78,2024-06-20,FS CO BUILDERS AND SUPPLY,2024-03-18,9.786702,123.347137,48995002.78,94
6589,Region VI,NEGROS OCCIDENTAL (FIFTH LEGISLATIVE DISTRICT),ISABELA (NEGROS OCCIDENTAL),Negros Occidental 2nd District Engineering Office,P00820004VS,"Construction of Binalbagan River Bank Slope Protection at Had. Millan, Brgy. Rumirang, Isabela, Negros Occidental",Construction of Slope Protection Structure,2024,24GL0042,96500000,95052445.9,2024-08-05,LEGACY CONSTRUCTION CORPORATION (FORMERLY: LEGACY CONSTRUCTION),2024-02-14,10.231726,122.975205,95052445.9,173
6591,Region VI,NEGROS OCCIDENTAL (THIRD LEGISLATIVE DISTRICT),ENRIQUE B. MAGALONA (SARAVIA) (NEGROS OCCIDENTAL),Negros Occidental 1st District Engineering Office,P00820285VS,"Construction of Flood Control Structure of Malogo River, Abutment ''A'' EB. Magalona, Negros Occidental",Construction of Flood Mitigation Structure,2024,24GK0013,96499993.25,96499993.42,2024-12-10,SILVERGRACES CONSTRUCTION AND CONSTRUCTION SUPPLY,2024-02-19,10.87919,123.04301,96499993.42,295
6595,Region VI,NEGROS OCCIDENTAL (SECOND LEGISLATIVE DISTRICT),SAGAY CITY (NEGROS OCCIDENTAL),Negros Occidental 1st District Engineering Office,P00832634VS,"Construction of Drainage System, Barangay Fabrica, Sagay City, Negros Occidental",Construction of Flood Mitigation Structure,2024,24GK0071,4949987.49,4947617.3,2024-06-04,JAIME B. CHING ENTERPRISES,2024-03-13,10.88888,123.352777,4947617.3,83
6600,Region VII,NEGROS ORIENTAL (THIRD LEGISLATIVE DISTRICT),SIATON (NEGROS ORIENTAL),Negros Oriental 3rd District Engineering Office,P00820208VS,"Construction of Canaway River Control (Downstream A), Siaton, Negros Oriental",Construction of Flood Mitigation Structure,2024,24HL0010,45080000,45080000,2024-09-11,YPR GEN. CONTRACTOR AND CONSTRUCTION SUPPLY INC.,2024-02-20,9.05649639,123.0431067,45080000.0,204
6601,Region VI,ILOILO (THIRD LEGISLATIVE DISTRICT),CALINOG (ILOILO),Iloilo 2nd District Engineering Office,P00820388VS,"Construction of Flood Control along Jalaur River in Calinog, Iloilo",Construction of Flood Mitigation Structure,2024,24GG0054,34300000,34299949.95,2024-06-15,STRONGLANE BUILDERS AND TRADING CORPORATION (FORMERLY: STRONGLANE CONSTRUCTION & TRADING),2024-02-12,11.11914167,122.5334922,34299949.95,124
6602,Region V,CAMARINES SUR (FIRST LEGISLATIVE DISTRICT),LUPI (CAMARINES SUR),Camarines Sur 1st District Engineering Office,P00844576LZ,"Construction of Flood Mitigation Structure, Barangay Sooc, Lupi, Camarines Sur",Construction of Revetment,2024,24FD0039,96499502.24,94305463.04,2024-06-21,BICOL GOLDROCK CONSTRUCTION CORPORATION,2024-03-27,13.8737316,122.942989,94305463.04,86
6616,Region V,CAMARINES SUR (FIRST LEGISLATIVE DISTRICT),SIPOCOT (CAMARINES SUR),Camarines Sur 1st District Engineering Office,P00845848LZ,"Construction of Riverbank Protection Structure along Bigaan River, Malubago Section, Sipocot, Camarines Sur",Construction of Revetment,2024,24FD0041,98999528.72,98999371.67,2024-12-16,JUSTBILT BUILDERS,2024-05-07,13.7699269,122.97863,98999371.67,223
6617,Region IX,ZAMBOANGA DEL NORTE (SECOND LEGISLATIVE DISTRICT),KATIPUNAN (ZAMBOANGA DEL NORTE),Zamboanga del Norte 2nd District Engineering Office,P00833583MN,"Construction of Flood Control Structure, Katipunan, Zamboanga del Norte",Construction of Flood Mitigation Structure,2024,24JC0007,9900000,9854928.39,2025-01-26,RDT CONSTRUCTION AND GENERAL MERCHANDISE,2024-02-21,8.513611,123.284167,9854928.39,340
6621,Region VI,AKLAN (FIRST LEGISLATIVE DISTRICT),BANGA (AKLAN),Aklan District Engineering Office,P00821160VS,"Construction of Revetment Wall along Aklan River, Brgy. Palale, Banga, Aklan",Construction of Revetment,2024,24GA0133,28950000,28949793.71,2024-06-18,PASTRANA CONSTRUCTION & SUPPLIES (FORMERLY: PASTRA,2024-02-19,11.653337,122.333981,28949793.71,120
6626,Region V,CAMARINES SUR (FIRST LEGISLATIVE DISTRICT),RAGAY (CAMARINES SUR),Camarines Sur 1st District Engineering Office,P00844587LZ,"Construction of Shore Protection Structure, Barangay Lower Omon, Ragay, Camarines Sur",Construction of Revetment,2024,24FD0035,96499961.53,96495012.79,2024-06-04,RAPIDWORKZ CONSTRUCTION & SUPPLY / STEVEN CONSTRUCTION & SUPPLY,2024-03-25,13.8212,122.6786,96495012.79,71
6632,Region VI,NEGROS OCCIDENTAL (THIRD LEGISLATIVE DISTRICT),CITY OF VICTORIAS (NEGROS OCCIDENTAL),Negros Occidental 1st District Engineering Office,P00820286VS,"Construction of Flood Control Structure of Malogo River, Abutment ""B"" Victorias City, Negros Occidental",Construction of Flood Mitigation Structure,2024,24GK0014,96499995.9,96499996.75,2024-12-10,"REDSON CONSTRUCTION AND SUPPLIES, INC. (FORMERLY: REDSON CONSTRUCTION AND SUPPLIES)",2024-03-13,10.8758,123.04567,96499996.75,272
6640,Region V,CAMARINES SUR (FIRST LEGISLATIVE DISTRICT),SIPOCOT (CAMARINES SUR),Camarines Sur 1st District Engineering Office,P00820481LZ,"Construction of Flood Mitigation Structure, Barangay Cotmo, Sipocot, Camarines Sur",Construction of Flood Mitigation Structure,2024,24FD0006,113974814.64,113974811.12,2024-06-24,G.C.I.  CONSTRUCTION AND DEV'T. CORP.,2024-03-01,13.8097,123.0474,113974811.12,115
6645,Region IX,ZAMBOANGA DEL NORTE (THIRD LEGISLATIVE DISTRICT),LEON T. POSTIGO (ZAMBOANGA DEL NORTE),Zamboanga del Norte 3rd District Engineering Office,P00820134MN,"Rehabilitation of Flood Control Structure along Talinga River (Upstream), Talinga, Leon B. Postigo, Zamboanga del Norte",Rehabilitation / Major Repair of Flood Control Structure,2024,24JD0015,14700000,14700000,2024-07-22,ST. JOSEPH CONSTRUCTION & TRADING,2024-02-07,8.0695,122.54028,14700000.0,166
6648,Region VI,ILOILO (FOURTH LEGISLATIVE DISTRICT),BAROTAC NUEVO (ILOILO),Iloilo 2nd District Engineering Office,P00820389VS,"Construction of Flood Control Structure along Jalaur River in Barotac Nuevo, Iloilo",Construction of Flood Mitigation Structure,2024,24GG0115,39200000,38999560.22,2024-07-08,"A.D. PENDON CONSTRUCTION & SUPPLY, INC. (FORMERLY: ADP CONSTRUCTION & SUPPLY)",2024-02-12,10.9093025,122.6862967,38999560.22,147
6653,Region V,CAMARINES SUR (FIFTH LEGISLATIVE DISTRICT),BULA (CAMARINES SUR),Camarines Sur 5th District Engineering Office,P00821392LZ,"Construction of Flood Mitigation Structure along Bicol River, Barangay Balaogan Section, Bula, Camarines Sur",Construction of Flood Mitigation Structure,2024,24FN0003,139925000,139925000,2024-11-19,G.C.I.  CONSTRUCTION AND DEV'T. CORP.,2024-02-21,13.44402,123.28702,139925000.0,272
6660,Region VII,NEGROS ORIENTAL (SECOND LEGISLATIVE DISTRICT),BAIS CITY (NEGROS ORIENTAL),Negros Oriental 2nd District Engineering Office,P00820402VS,"Construction of Flood Control Dike, Barangay Panalaan, Bais City, Negros Oriental",Construction of Flood Mitigation Structure,2024,24HK0050,9800000,9800000,2024-07-21,PHILSOUTH BUILDERS INC (FORMERLY:PHILSOUTH BUILDERS),2024-04-04,9.59603667,123.05038639,9800000.0,108
6674,Region VI,ILOILO CITY (LEGISLATIVE DISTRICT),ILOILO CITY (CAPITAL) (ILOILO),Iloilo City District Engineering Office,P00834995VS,"Construction of Flood Mitigation Structures in Iloilo City- Drainage System 1, Iloilo City",Construction of Flood Mitigation Structure,2024,24GJ0061,9900000,9899955.26,2024-09-13,NOE'S BUILDERS,2024-02-19,10.6886,122.542,9899955.26,207
6690,Region VI,ILOILO (FOURTH LEGISLATIVE DISTRICT),DUMANGAS (ILOILO),Iloilo 2nd District Engineering Office,P00821052VS,"Construction of Sea Wall/Storm Surge Protection With Embankment, Coastal Road, Dumangas, Iloilo",Construction of Flood Mitigation Structure,2024,24GG0116,34300000,34239725.52,2025-02-24,"A.D. PENDON CONSTRUCTION & SUPPLY, INC. (FORMERLY: ADP CONSTRUCTION & SUPPLY)",2024-02-12,10.787295,122.697611,34239725.52,378
6698,Region VI,NEGROS OCCIDENTAL (THIRD LEGISLATIVE DISTRICT),SILAY CITY (NEGROS OCCIDENTAL),Negros Occidental 1st District Engineering Office,P00820175VS,"Construction of Flood Control Structure of Matagoy Creek, Silay City, Negros Occidental",Construction of Flood Mitigation Structure,2024,24GK0007,28213216.63,28213217.31,2024-07-22,XA CONSTRUCTION,2024-02-14,10.79559,122.98608,28213217.31,159
6699,Region VI,NEGROS OCCIDENTAL (THIRD LEGISLATIVE DISTRICT),SILAY CITY (NEGROS OCCIDENTAL),Negros Occidental 1st District Engineering Office,P00820176VS,"Construction of Flood Control Structure of Matigay Creek, Silay City, Negros Occidental",Construction of Flood Mitigation Structure,2024,24GK0008,28213212.73,28213216.9,2024-06-17,CANLAON BUILDERS AND DEVELOPMENT CORPORATION,2024-02-14,10.80222,122.9872,28213216.9,124
